uid,comp_key,fom_ref,rank_mean,rank_entropy
1CuSbP2Se6-1,Cu1-P2-Sb1-Se6,2040.152402019458,222.3615,0.822591705611186
1PdS2-2,Pd1-S2,2059.5145192981727,222.786,0.823862301793816
1NiS2-1,Ni1-S2,1945.074881311825,227.499,0.8734992293190571
1CCl2Y2-1,C1-Cl2-Y2,2021.6362284708923,228.414,0.8214769384731644
1Al2Te5-1,Al2-Te5,2021.2356962384492,228.7755,0.8134025508245551
2IRhTe-2,I1-Rh1-Te1,2024.675042143213,230.0095,0.8246664986547536
2MoCl3-3,Cl3-Mo1,1878.5198003144446,230.995,0.9034421631428169
2BrHg-1,Br1-Hg1,2008.4138749631384,231.128,0.8222624582431747
2ClInS-1,Cl1-In1-S1,2014.7067858546534,231.547,0.8229796704717619
2AlGeS3-1,Al1-Ge1-S3,2011.4726097913153,233.2725,0.8272994470084912
1WSe2-1,Se2-W1,2020.333864770097,233.624,0.8237716754800138
1SnSb2Te4-1,Sb2-Sn1-Te4,2673.741645475583,234.2785,0.825776223299588
1CdBr2-1,Br2-Cd1,1999.1062962671233,234.4685,0.8205903286109505
1AgAlP2S6-1,Ag1-Al1-P2-S6,1994.2154265052354,235.5545,0.824077219343051
2AgI-1,Ag1-I1,1999.2916885427585,236.8175,0.82499814476994
1PbBi2S4-1,Bi2-Pb1-S4,1902.955671918485,238.0235,0.8849650103052463
4PSeSi-1,P1-Se1-Si1,1984.7674112237898,238.6115,0.8287271869790587
1SnS2-1,S2-Sn1,1986.2382619676894,238.976,0.8240385713326872
2FGaO-1,F1-Ga1-O1,1982.2600249391799,239.104,0.8272413298718103
1WS2-1,S2-W1,1990.415981080677,239.2695,0.825494886496588
2BrRhTe-1,Br1-Rh1-Te1,1982.4945007482952,239.963,0.8315152444872768
1ZrSe2-1,Se2-Zr1,1939.716532511361,241.5635,0.8413604309733849
2BrFSr-1,Br1-F1-Sr1,1963.6609745132102,244.3785,0.8290363175291571
2AlBrO-1,Al1-Br1-O1,1967.542961063257,244.9905,0.8250052149562609
4AuITe-1,Au1-I1-Te1,1975.7703718840698,245.8235,0.832549101688989
2ClGaO-1,Cl1-Ga1-O1,1955.6970694850957,247.6565,0.8294150105750882
1GeS-1,Ge1-S1,1951.9708300353811,248.7875,0.8310990405481833
2IIrTe-2,I1-Ir1-Te1,1959.5298012561466,248.9105,0.8270558457640126
2MgCl2-1,Cl2-Mg1,1952.9277406370811,249.4335,0.8283586616473136
