uid,comp_key,gap,gap_hse,gap_gw,E_pred,E_sd,mahalanobis,in_anchor_box
4AsSiTe-1,As1-Si1-Te1,1.5735714171716275,2.2605103521864875,,2.9756174,0.26621673,0.1342849159773993,True
1CuSbAs2Se6-1,As2-Cu1-Sb1-Se6,0.5094599466545398,1.2573446799567836,,1.5902606,0.2585396,1.368924656842614,True
1SeAs2Te2-1,As2-Se1-Te2,0.5833960168587964,0.993165203293169,,1.3130625,0.27287528,0.9180959544667938,True
4SiTe2-1,Si1-Te2,1.2927574698482611,1.9402450516955878,,2.5542192,0.26535687,0.19312199330328433,True
1SAs2Te2-1,As2-S1-Te2,0.7094001430215612,1.148785320800186,,1.5301791,0.25965446,0.8209996291355943,True
2CuSe-4,Cu1-Se1,0.44711084243526233,1.1163487227355335,,1.3961858,0.26380637,1.1774304507959645,True
2GeTe-1,Ge1-Te1,0.815331286945854,1.1031650847689054,1.2859977313054745,1.5172668,0.27771908,1.3989541068287252,True
2AsSnTe3-1,As1-Sn1-Te3,0.45476845761786766,0.7215064951030894,,0.9996481,0.2713373,1.3628877958231644,True
2P2Se3-2,P2-Se3,1.793948344850465,2.699968277561336,,3.5096633,0.2707593,0.7137270073322549,True
4AsGeTe-1,As1-Ge1-Te1,1.2222078804486949,1.870914617316259,,2.434045,0.2568004,0.2417987187505003,True
1Tl2Te5-1,Te5-Tl2,0.6043036567309898,1.10249887144928,,1.4303265,0.2660493,0.7548063694140948,True
4AuI2-1,Au1-I2,0.3576897296903292,0.8802399537531622,,1.1211026,0.25832233,0.965374574892329,True
1GeTe-1,Ge1-Te1,1.473578448873159,1.9941093585389857,2.6470294749866463,2.6599746,0.25359952,0.79890008903471,True
4GePTe-1,Ge1-P1-Te1,1.2028561443555579,1.8345939432527831,,2.396666,0.2688807,0.2621257461095054,True
4AuIS-1,Au1-I1-S1,0.6629425143177854,1.3433997204993804,,1.7084144,0.26797828,0.9533898051270238,True
2OsTe2-1,Os1-Te2,0.7132964037368489,1.3789607924123017,,1.7650509,0.26982528,0.8485451158072211,True
4GeSbTe-1,Ge1-Sb1-Te1,1.047369322720849,1.6363886955936953,,2.1390176,0.26801968,0.39834773873765406,True
2HSi-1,H1-Si1,2.171198903815278,2.8615552106577553,3.8333651720593527,3.7880216,0.26871005,0.8319133057747735,True
1AgBiP2Te6-1,Ag1-Bi1-P2-Te6,0.40087752913751284,1.0749202369596413,,1.3455037,0.25566325,1.247759479063503,True
4SbSiTe-1,Sb1-Si1-Te1,1.3598264660983483,1.9658621640638632,,2.596917,0.2783014,0.3329798898137061,True
2AgSe-1,Ag1-Se1,0.7502400189894041,1.1786742925781897,,1.5641091,0.26456693,0.8505815336543374,True
2GePTe3-1,Ge1-P1-Te3,0.8185057591742342,1.2494238068688381,,1.6759022,0.2613676,0.8464118330153424,True
4P-1,P1,0.9025676593547001,1.5111873683643162,2.0250918795203465,1.9531492,0.28089276,0.5134526323143962,True
1AgSbP2Te6-1,Ag1-P2-Sb1-Te6,0.47535869473964754,1.1226009579773746,,1.4199538,0.26402706,1.0788326880123689,True
2P-1,P1,1.9290582540934849,2.7339604246771136,,3.600115,0.26534837,0.3465368415942855,True
4As-1,As1,0.8347269690251125,1.3237041292011327,1.796637983908826,1.7371138,0.26412126,0.6712055516093144,True
2AsTe-1,As1-Te1,0.9338499007824226,1.496138577144052,,1.9610829,0.2584336,0.49296208025381766,True
4GeSb2-1,Ge1-Sb2,0.9419590161864018,1.3329595064349289,,1.7866625,0.27498522,1.0308618417903768,True
2AgTe-3,Ag1-Te1,0.4772290620231727,0.7557647052840255,,1.0331198,0.2781963,1.3250951852519928,True
2AgS-1,Ag1-S1,0.9615159891823399,1.5571749165959718,,2.0332196,0.27241322,0.4534413551905075,True
2Sb-1,Sb1,0.9829007803851126,1.4062542364491943,,1.8747252,0.26567495,0.9167650683406654,True
2GeH-1,Ge1-H1,0.9200963558790143,1.4883506343670962,2.35348848688352,1.9488041,0.25904667,0.495172760305786,True
2PSb-1,P1-Sb1,0.8040688541077516,1.3790834903109825,,1.78734,0.27222034,0.5831179196815676,True
